Nature_des_incidents_graves,Atteinte_aux_personnes_en%
Violences verbales,41.800000000000004
Violences physiques ,29.8
"Atteinte à la vie privée (via les réseaux sociaux notamment), violence sexuelle, racket, happy slapping et bizutage",7.7
"Vol, dommage aux locaux ou au matériel et dommage aux biens personnels",7.1000000000000005
Atteintes à la sécurité,
Consommation d'alcool/stupéfiants ou trafic de stupéfiants,4.7
"Port d'arme blanche ou objet dangereux, port d'arme à feu (sans violence),  intrusion sans violence, suicide ou tentative de suicide et autre fait de violence dont atteinte à la laïcité",8.8
