Code géographique 1991;Statut municipal;Nom de la municipalité;Population estimée;Latitude;Longitude 
10070;P;Saint-Fabien;1886;48° 17' 39" N;68° 52' 01" O
10075;P;Saint-Eugène-de-Ladrière;413;48° 14' 52" N;68° 48' 03" O
10902;NO;Lac-Huron;33;48° 04' 51" N;68° 13' 19" O
11005;M;Saint-Clément;485;47° 55' 25" N;69° 05' 50" O
11010;M;Saint-Jean-de-Dieu;1678;48° 00' 04" N;69° 02' 48" O
11015;M;Sainte-Rita;315;47° 56' 54" N;68° 54' 45" O
11025;M;Saint-Médard;217;48° 02' 50" N;68° 53' 56" O
11030;P;Sainte-Françoise;417;48° 05' 43" N;69° 04' 04" O
11035;P;Saint-Éloi;324;48° 02' 13" N;69° 13' 41" O
11040;V;Trois-Pistoles;3170;48° 07' 32" N;69° 10' 31" O
11045;M;Notre-Dame-des-Neiges;1174;48° 06' 51" N;69° 09' 26" O
11050;M;Saint-Mathieu-de-Rioux;720;48° 11' 02" N;68° 59' 05" O
11055;M;Saint-Simon-de-Rimouski;475;48° 12' 07" N;69° 02' 37" O
11902;NO;Lac-Boisbouscache;0;48° 07' 40" N;68° 53' 02" O
12005;M;Saint-Cyprien;1095;47° 53' 44" N;69° 01' 27" O
12010;M;Saint-Hubert-de-Rivière-du-Loup;1440;47° 48' 57" N;69° 08' 52" O
12015;V;Saint-Antonin;4618;47° 45' 52" N;69° 28' 32" O
12020;M;Saint-Modeste;1212;47° 49' 50" N;69° 24' 15" O
12025;M;Saint-François-Xavier-de-Viger;248;47° 51' 23" N;69° 14' 43" O
12030;M;Saint-Épiphane;829;47° 53' 45" N;69° 19' 45" O
12035;M;Saint-Paul-de-la-Croix;325;47° 57' 12" N;69° 11' 39" O
12043;M;L'Isle-Verte;1418;48° 00' 55" N;69° 20' 05" O
12045;P;Notre-Dame-des-Sept-Douleurs;72;48° 00' 35" N;69° 27' 19" O
12057;M;Cacouna;1882;47° 54' 59" N;69° 29' 59" O
12065;P;Saint-Arsène;1254;47° 54' 48" N;69° 26' 02" O
12072;V;Rivière-du-Loup;20666;47° 50' 10" N;69° 32' 12" O
12080;M;Notre-Dame-du-Portage;1336;47° 45' 56" N;69° 36' 35" O
12802;R;Kataskomiq;0;47° 42' 05" N;69° 16' 27" O
12804;R;Cacouna;0;47° 55' 05" N;69° 30' 27" O
13005;V;Dégelis;2952;47° 32' 53" N;68° 38' 49" O
13010;M;Saint-Jean-de-la-Lande;240;47° 25' 35" N;68° 40' 52" O
13015;P;Packington;600;47° 29' 26" N;68° 47' 11" O
13020;P;Saint-Marc-du-Lac-Long;392;47° 23' 19" N;68° 53' 42" O
13025;M;Rivière-Bleue;1305;47° 26' 10" N;69° 02' 35" O
13030;P;Saint-Eusèbe;581;47° 32' 37" N;68° 54' 48" O
13040;M;Saint-Juste-du-Lac;555;47° 39' 14" N;68° 45' 15" O
13045;M;Auclair;474;47° 43' 43" N;68° 38' 38" O
13050;M;Lejeune;246;47° 46' 08" N;68° 34' 28" O
13055;M;Biencourt;429;47° 56' 16" N;68° 36' 25" O
13062;V;Lac-des-Aigles;578;48° 02' 07" N;68° 47' 09" O
13065;M;Saint-Michel-du-Squatec;1057;47° 52' 52" N;68° 43' 11" O
13073;V;Témiscouata-sur-le-Lac;5168;47° 40' 60" N;68° 52' 60" O
13075;M;Saint-Pierre-de-Lamy;139;47° 47' 02" N;69° 02' 03" O
13080;P;Saint-Louis-du-Ha! Ha!;1355;47° 40' 13" N;68° 58' 54" O
13085;M;Saint-Elzéar-de-Témiscouata;342;47° 35' 30" N;69° 05' 37" O
13090;M;Saint-Honoré-de-Témiscouata;809;47° 42' 31" N;69° 08' 09" O
13095;V;Pohénégamook;2514;47° 27' 24" N;69° 14' 26" O
13100;M;Saint-Athanase;311;47° 26' 21" N;69° 24' 55" O
14005;M;Mont-Carmel;1165;47° 26' 30" N;69° 51' 19" O
14010;M;Saint-Bruno-de-Kamouraska;512;47° 27' 24" N;69° 45' 14" O
14018;V;Saint-Pascal;3530;47° 31' 42" N;69° 48' 27" O
14025;M;Sainte-Hélène-de-Kamouraska;895;47° 35' 21" N;69° 43' 47" O
14030;P;Saint-Joseph-de-Kamouraska;399;47° 36' 38" N;69° 38' 32" O
14035;M;Saint-Alexandre-de-Kamouraska;2504;47° 40' 46" N;69° 37' 11" O
14040;M;Saint-André-de-Kamouraska;666;47° 40' 25" N;69° 43' 40" O
14045;M;Saint-Germain-de-Kamouraska;304;47° 35' 16" N;69° 47' 54" O
14050;M;Kamouraska;609;47° 33' 57" N;69° 52' 06" O
14055;M;Saint-Denis-De La Bouteillerie;517;47° 30' 06" N;69° 56' 09" O
14060;P;Saint-Philippe-de-Néri;853;47° 28' 01" N;69° 53' 12" O
14065;M;Rivière-Ouelle;1002;47° 26' 03" N;70° 00' 57" O
14070;M;Saint-Pacôme;1565;47° 24' 33" N;69° 56' 45" O
14075;M;Saint-Gabriel-Lalemant;670;47° 22' 57" N;69° 55' 43" O
14080;M;Saint-Onésime-d'Ixworth;523;47° 19' 37" N;69° 58' 55" O
14085;V;La Pocatière;4222;47° 22' 13" N;70° 01' 58" O
14090;P;Sainte-Anne-de-la-Pocatière;1647;47° 20' 31" N;70° 02' 10" O
14902;NO;Picard;6;47° 34' 56" N;69° 28' 41" O
14904;NO;Petit-Lac-Sainte-Anne;0;47° 10' 32" N;69° 43' 22" O
15005;M;Saint-Irénée;703;47° 34' 16" N;70° 12' 26" O
15013;V;La Malbaie;8443;47° 39' 08" N;70° 08' 56" O
15025;M;Notre-Dame-des-Monts;807;47° 40' 01" N;70° 22' 40" O
15030;M;Saint-Aimé-des-Lacs;1178;47° 40' 57" N;70° 18' 32" O
15035;V;Clermont;3082;47° 41' 40" N;70° 13' 32" O
15058;M;Saint-Siméon;1122;47° 50' 14" N;69° 52' 55" O
15065;M;Baie-Sainte-Catherine;162;48° 06' 11" N;69° 43' 34" O
15902;NO;Mont-Élie;51;47° 52' 11" N;70° 17' 10" O
15904;NO;Sagard;109;48° 03' 05" N;70° 06' 40" O
16005;M;Petite-Rivière-Saint-François;1163;47° 18' 04" N;70° 34' 07" O
16013;V;Baie-Saint-Paul;7784;47° 26' 26" N;70° 30' 34" O
16023;M;L'Isle-aux-Coudres;1102;47° 25' 13" N;70° 23' 07" O
16048;M;Les Éboulements;1607;47° 28' 45" N;70° 19' 03" O
16050;P;Saint-Hilarion;1229;47° 34' 42" N;70° 24' 08" O
16055;P;Saint-Urbain;1410;47° 33' 26" N;70° 32' 26" O
16902;NO;Lac-Pikauba;0;47° 45' 23" N;70° 56' 10" O
17005;M;Saint-Omer;295;47° 03' 33" N;69° 43' 44" O
17010;V;Saint-Pamphile;2396;46° 57' 39" N;69° 46' 38" O
17015;M;Saint-Adalbert;482;46° 51' 56" N;69° 53' 59" O
17020;M;Saint-Marcel;430;46° 53' 53" N;70° 03' 42" O
17025;M;Sainte-Félicité;369;46° 58' 01" N;69° 56' 57" O
17030;M;Sainte-Perpétue;1703;47° 03' 21" N;69° 55' 33" O
17035;M;Tourville;573;47° 05' 42" N;69° 58' 55" O
17040;M;Saint-Damase-de-L'Islet;569;47° 11' 47" N;70° 07' 41" O
17045;P;Saint-Cyrille-de-Lessard;765;47° 02' 07" N;70° 16' 21" O
17055;M;Saint-Aubert;1406;47° 10' 40" N;70° 13' 02" O
17060;P;Sainte-Louise;695;47° 16' 57" N;70° 07' 43" O
17065;M;Saint-Roch-des-Aulnaies;942;47° 18' 29" N;70° 10' 21" O
17070;M;Saint-Jean-Port-Joli;3327;47° 12' 60" N;70° 16' 12" O
17078;M;L'Islet;3894;47° 06' 13" N;70° 21' 07" O
18005;M;Saint-Just-de-Bretenières;649;46° 34' 12" N;70° 05' 20" O
18010;M;Lac-Frontière;172;46° 41' 44" N;70° 00' 11" O
18015;P;Saint-Fabien-de-Panet;993;46° 39' 21" N;70° 08' 48" O
18020;M;Sainte-Lucie-de-Beauregard;290;46° 44' 33" N;70° 01' 42" O
18025;P;Sainte-Apolline-de-Patton;532;46° 48' 24" N;70° 11' 39" O
18030;M;Saint-Paul-de-Montminy;804;46° 43' 48" N;70° 21' 42" O
18035;M;Sainte-Euphémie-sur-Rivière-du-Sud;360;46° 46' 33" N;70° 26' 12" O
18040;M;Notre-Dame-du-Rosaire;394;46° 49' 36" N;70° 23' 38" O
18045;M;Cap-Saint-Ignace;3139;47° 01' 53" N;70° 26' 29" O
18050;V;Montmagny;11217;46° 58' 53" N;70° 33' 27" O
18055;P;Saint-Pierre-de-la-Rivière-du-Sud;816;46° 54' 50" N;70° 37' 36" O
18060;M;Saint-François-de-la-Rivière-du-Sud;1592;46° 53' 13" N;70° 42' 55" O
18065;M;Berthier-sur-Mer;1808;46° 55' 32" N;70° 43' 57" O
18070;P;Saint-Antoine-de-l'Isle-aux-Grues;107;47° 04' 00" N;70° 32' 21" O
19005;P;Saint-Philémon;703;46° 40' 44" N;70° 26' 52" O
19010;P;Notre-Dame-Auxiliatrice-de-Buckland;801;46° 37' 11" N;70° 32' 38" O
19015;P;Saint-Nazaire-de-Dorchester;332;46° 33' 06" N;70° 39' 43" O
19020;P;Saint-Léon-de-Standon;1035;46° 28' 42" N;70° 37' 11" O
19025;P;Saint-Malachie;1751;46° 31' 55" N;70° 45' 56" O
19030;P;Saint-Damien-de-Buckland;1822;46° 37' 46" N;70° 39' 57" O
19037;M;Armagh;1429;46° 44' 35" N;70° 35' 16" O
19045;M;Saint-Nérée-de-Bellechasse;768;46° 43' 43" N;70° 43' 44" O
19050;M;Saint-Lazare-de-Bellechasse;1334;46° 39' 23" N;70° 47' 54" O
19055;M;Sainte-Claire;3686;46° 35' 54" N;70° 51' 55" O
19062;M;Saint-Anselme;4436;46° 37' 41" N;70° 58' 19" O
19068;M;Saint-Henri;6016;46° 41' 33" N;71° 04' 03" O
19070;M;Honfleur;872;46° 39' 21" N;70° 52' 49" O
19075;M;Saint-Gervais;2207;46° 42' 59" N;70° 53' 30" O
19082;M;Saint-Raphaël;2496;46° 47' 40" N;70° 45' 21" O
19090;P;La Durantaye;813;46° 50' 09" N;70° 51' 19" O
19097;M;Saint-Charles-de-Bellechasse;2727;46° 46' 21" N;70° 56' 31" O
19105;M;Beaumont;3105;46° 49' 50" N;71° 00' 35" O
19110;M;Saint-Michel-de-Bellechasse;1938;46° 52' 26" N;70° 54' 28" O
19117;M;Saint-Vallier;1037;46° 53' 34" N;70° 49' 19" O
20005;M;Saint-François-de-l'Île-d'Orléans;536;47° 00' 09" N;70° 48' 47" O
20010;M;Sainte-Famille-de-l'Île-d'Orléans;804;46° 58' 23" N;70° 57' 45" O
20015;M;Saint-Jean-de-l'Île-d'Orléans;1018;46° 55' 16" N;70° 53' 26" O
20020;M;Saint-Laurent-de-l'Île-d'Orléans;1679;46° 51' 52" N;70° 59' 54" O
20025;M;Saint-Pierre-de-l'Île-d'Orléans;1670;46° 53' 18" N;71° 04' 12" O
20030;VL;Sainte-Pétronille;1019;46° 51' 09" N;71° 08' 10" O
21005;M;Saint-Tite-des-Caps;1602;47° 08' 29" N;70° 46' 12" O
21010;M;Saint-Ferréol-les-Neiges;4039;47° 07' 04" N;70° 51' 36" O
21015;P;Saint-Louis-de-Gonzague-du-Cap-Tourmente;0;47° 03' 44" N;70° 48' 18" O
21020;P;Saint-Joachim;1429;47° 03' 13" N;70° 50' 36" O
21025;V;Beaupré;4299;47° 02' 30" N;70° 53' 57" O
21030;V;Sainte-Anne-de-Beaupré;3133;47° 00' 57" N;70° 56' 51" O
21035;V;Château-Richer;4617;46° 58' 10" N;71° 01' 03" O
21040;M;L'Ange-Gardien;3985;46° 54' 57" N;71° 05' 42" O
21045;M;Boischatel;8987;46° 53' 49" N;71° 08' 24" O
21902;NO;Sault-au-Cochon;0;47° 10' 00" N;70° 41' 49" O
21904;NO;Lac-Jacques-Cartier;0;47° 32' 35" N;71° 22' 58" O
22005;V;Sainte-Catherine-de-la-Jacques-Cartier;9444;46° 50' 43" N;71° 37' 11" O
22010;V;Fossambault-sur-le-Lac;2459;46° 52' 07" N;71° 37' 13" O
22015;V;Lac-Saint-Joseph;280;46° 54' 26" N;71° 37' 35" O
22020;V;Shannon;6979;46° 53' 22" N;71° 31' 07" O
22025;M;Saint-Gabriel-de-Valcartier;3393;46° 55' 58" N;71° 27' 54" O
22030;V;Lac-Delage;790;46° 58' 16" N;71° 24' 13" O
22035;CU;Stoneham-et-Tewkesbury;10070;46° 59' 57" N;71° 22' 05" O
22040;M;Lac-Beauport;8444;46° 56' 47" N;71° 17' 14" O
22045;V;Sainte-Brigitte-de-Laval;8988;47° 00' 07" N;71° 11' 37" O
22902;NO;Lac-Croche;0;47° 28' 46" N;71° 49' 52" O
23015;P;Notre-Dame-des-Anges;246;46° 48' 52" N;71° 13' 57" O
23027;V;Québec;592884;46° 48' 50" N;71° 12' 29" O
23057;V;L'Ancienne-Lorette;17851;46° 47' 55" N;71° 21' 44" O
23072;V;Saint-Augustin-de-Desmaures;20840;46° 44' 48" N;71° 27' 33" O
23802;R;Wendake;2231;46° 52' 00" N;71° 21' 43" O
25213;V;Lévis;159436;46° 45' 29" N;71° 14' 27" O
26005;M;Frampton;1355;46° 27' 47" N;70° 48' 27" O
26010;M;Saints-Anges;1361;46° 25' 05" N;70° 52' 36" O
26015;M;Vallée-Jonction;2058;46° 22' 30" N;70° 55' 36" O
26022;M;Saint-Elzéar;2838;46° 24' 22" N;71° 03' 40" O
26030;V;Sainte-Marie;13715;46° 26' 18" N;71° 01' 17" O
26035;P;Sainte-Marguerite;1302;46° 30' 41" N;70° 56' 12" O
26040;P;Sainte-Hénédine;1509;46° 33' 27" N;70° 59' 07" O
26048;M;Scott;2893;46° 30' 21" N;71° 04' 23" O
26055;M;Saint-Bernard;2692;46° 29' 53" N;71° 08' 11" O
26063;M;Saint-Isidore;3529;46° 35' 07" N;71° 05' 08" O
26070;M;Saint-Lambert-de-Lauzon;7181;46° 35' 30" N;71° 12' 22" O
27008;M;Saint-Victor;2346;46° 08' 47" N;70° 54' 17" O
27015;M;Saint-Alfred;543;46° 09' 24" N;70° 49' 41" O
27028;V;Beauceville;6253;46° 12' 53" N;70° 46' 33" O
27035;M;Saint-Odilon-de-Cranbourne;1445;46° 21' 24" N;70° 40' 38" O
27043;V;Saint-Joseph-de-Beauce;5288;46° 18' 27" N;70° 52' 47" O
27050;M;Saint-Joseph-des-Érables;397;46° 17' 34" N;70° 53' 51" O
27055;P;Saint-Jules;545;46° 13' 26" N;70° 56' 52" O
27060;VL;Tring-Jonction;1607;46° 16' 21" N;70° 59' 44" O
27065;P;Saint-Frédéric;1191;46° 17' 54" N;70° 58' 13" O
27070;P;Saint-Séverin;303;46° 19' 33" N;71° 03' 16" O
28005;M;Saint-Zacharie;1707;46° 07' 36" N;70° 21' 48" O
28015;M;Sainte-Aurélie;893;46° 10' 34" N;70° 21' 43" O
28020;M;Saint-Prosper;3950;46° 12' 40" N;70° 28' 58" O
28025;M;Saint-Benjamin;1207;46° 16' 48" N;70° 36' 12" O
28030;M;Sainte-Rose-de-Watford;748;46° 19' 20" N;70° 25' 41" O
28035;M;Saint-Louis-de-Gonzague;388;46° 16' 01" N;70° 19' 37" O
28040;P;Saint-Cyprien;468;46° 21' 11" N;70° 15' 45" O
28045;M;Sainte-Justine;1842;46° 24' 10" N;70° 21' 26" O
28053;M;Lac-Etchemin;4064;46° 23' 47" N;70° 30' 16" O
28060;M;Saint-Luc-de-Bellechasse;471;46° 30' 25" N;70° 28' 60" O
28065;P;Sainte-Sabine;368;46° 29' 35" N;70° 21' 07" O
28070;P;Saint-Camille-de-Lellis;741;46° 30' 00" N;70° 12' 21" O
28075;M;Saint-Magloire;731;46° 34' 32" N;70° 17' 19" O
29005;M;Saint-Théophile;720;45° 56' 09" N;70° 28' 58" O
29013;M;Saint-Gédéon-de-Beauce;2139;45° 51' 09" N;70° 38' 27" O
29020;P;Saint-Hilaire-de-Dorset;105;45° 51' 56" N;70° 51' 24" O
29027;M;Courcelles--Saint-Évariste;1327;45° 56' 07" N;70° 56' 56" O
29030;VL;La Guadeloupe;1915;45° 58' 05" N;70° 56' 30" O
29038;M;Saint-Honoré-de-Shenley;1633;45° 57' 40" N;70° 49' 26" O
29045;P;Saint-Martin;2658;45° 57' 33" N;70° 39' 21" O
29050;P;Saint-René;1001;46° 00' 49" N;70° 37' 08" O
29057;M;Saint-Côme--Linière;3445;46° 03' 29" N;70° 31' 19" O
29065;M;Saint-Philibert;365;46° 08' 08" N;70° 32' 41" O
29073;V;Saint-Georges;33910;46° 07' 22" N;70° 40' 17" O
29095;VL;Lac-Poulin;176;46° 05' 55" N;70° 48' 58" O
29100;M;Saint-Benoît-Labre;1676;46° 04' 16" N;70° 47' 19" O
29112;M;Saint-Éphrem-de-Beauce;2541;46° 03' 32" N;70° 57' 19" O
29120;P;Notre-Dame-des-Pins;1954;46° 10' 60" N;70° 42' 51" O
29125;M;Saint-Simon-les-Mines;640;46° 12' 41" N;70° 40' 52" O
30005;P;Saint-Augustin-de-Woburn;677;45° 23' 05" N;70° 51' 47" O
30010;M;Notre-Dame-des-Bois;1161;45° 23' 31" N;71° 04' 27" O
30015;M;Val-Racine;183;45° 29' 13" N;71° 04' 26" O
30020;M;Piopolis;395;45° 29' 09" N;70° 54' 26" O
30025;M;Frontenac;1850;45° 34' 20" N;70° 49' 49" O
30030;V;Lac-Mégantic;5910;45° 34' 25" N;70° 52' 56" O
30035;CT;Marston;808;45° 33' 06" N;70° 56' 48" O
30040;M;Milan;332;45° 35' 17" N;71° 07' 23" O
30045;M;Nantes;1412;45° 38' 01" N;71° 01' 16" O
30050;M;Sainte-Cécile-de-Whitton;913;45° 40' 04" N;70° 56' 25" O
30055;M;Audet;707;45° 39' 26" N;70° 44' 03" O
30070;M;Saint-Robert-Bellarmin;529;45° 44' 59" N;70° 35' 04" O
30072;M;Saint-Ludger;1100;45° 44' 27" N;70° 41' 28" O
30080;M;Lac-Drolet;1087;45° 43' 06" N;70° 50' 59" O
30085;M;Saint-Sébastien;722;45° 46' 56" N;70° 58' 11" O
30095;M;Lambton;1722;45° 50' 18" N;71° 05' 35" O
30100;M;Saint-Romain;715;45° 47' 04" N;71° 05' 34" O
30105;M;Stornoway;554;45° 42' 32" N;71° 09' 31" O
30110;CT;Stratford;1082;45° 46' 55" N;71° 16' 58" O
31008;M;Beaulac-Garthby;947;45° 50' 20" N;71° 22' 44" O
31015;V;Disraeli;2390;45° 54' 11" N;71° 21' 28" O
31020;P;Disraeli;1176;45° 55' 26" N;71° 22' 19" O
31025;P;Saint-Jacques-le-Majeur-de-Wolfestown;200;45° 56' 28" N;71° 30' 14" O
31030;M;Saint-Fortunat;285;45° 58' 21" N;71° 35' 59" O
31035;M;Saint-Julien;394;45° 59' 42" N;71° 31' 41" O
31040;M;Irlande;913;46° 05' 10" N;71° 31' 58" O
31045;M;Saint-Joseph-de-Coleraine;1899;45° 57' 51" N;71° 22' 23" O
