Code géographique 1991;Statut municipal;Nom de la municipalité;Population estimée;Latitude;Longitude 
01023;M;Les Îles-de-la-Madeleine;12481;47° 22' 34" N;61° 52' 05" O
01042;M;Grosse-Île;456;47° 37' 08" N;61° 30' 57" O
02005;V;Percé;3122;48° 31' 27" N;64° 12' 43" O
02010;M;Sainte-Thérèse-de-Gaspé;1011;48° 24' 56" N;64° 23' 54" O
02015;V;Grande-Rivière;3339;48° 24' 03" N;64° 29' 47" O
02028;V;Chandler;7420;48° 20' 55" N;64° 40' 42" O
02047;M;Port-Daniel--Gascons;2287;48° 10' 46" N;64° 58' 14" O
02902;NO;Mont-Alexandre;0;48° 32' 21" N;64° 56' 34" O
03005;V;Gaspé;15539;48° 49' 29" N;64° 28' 34" O
03010;CT;Cloridorme;624;49° 10' 51" N;64° 50' 59" O
03015;M;Petite-Vallée;155;49° 13' 07" N;65° 02' 05" O
03020;M;Grande-Vallée;1067;49° 13' 34" N;65° 07' 27" O
03025;V;Murdochville;617;48° 57' 37" N;65° 29' 49" O
03902;NO;Rivière-Saint-Jean;0;48° 53' 06" N;65° 02' 04" O
03904;NO;Collines-du-Basque;0;48° 57' 07" N;65° 16' 23" O
04005;M;Sainte-Madeleine-de-la-Rivière-Madeleine;275;49° 14' 54" N;65° 21' 11" O
04010;M;Saint-Maxime-du-Mont-Louis;1025;49° 13' 44" N;65° 43' 53" O
04015;VL;Mont-Saint-Pierre;196;49° 13' 23" N;65° 47' 60" O
04020;M;Rivière-à-Claude;153;49° 13' 06" N;65° 53' 42" O
04025;VL;Marsoui;282;49° 12' 54" N;66° 04' 01" O
04030;M;La Martre;182;49° 12' 20" N;66° 10' 14" O
04037;V;Sainte-Anne-des-Monts;6161;49° 07' 47" N;66° 29' 15" O
04047;V;Cap-Chat;2560;49° 05' 48" N;66° 41' 16" O
04902;NO;Mont-Albert;181;48° 52' 51" N;65° 56' 04" O
04904;NO;Coulée-des-Adolphe;0;48° 57' 45" N;66° 37' 58" O
05010;M;Shigawake;332;48° 05' 48" N;65° 04' 07" O
05015;CT;Saint-Godefroi;356;48° 04' 33" N;65° 06' 47" O
05020;M;Hope Town;336;48° 03' 01" N;65° 09' 30" O
05025;CT;Hope;608;48° 02' 12" N;65° 12' 14" O
05032;V;Paspébiac;3123;48° 01' 46" N;65° 14' 55" O
05040;M;New Carlisle;1343;48° 00' 34" N;65° 19' 41" O
05045;V;Bonaventure;2759;48° 02' 57" N;65° 29' 28" O
05050;M;Saint-Elzéar;459;48° 09' 35" N;65° 23' 36" O
05055;P;Saint-Siméon;1256;48° 04' 18" N;65° 34' 17" O
05060;M;Caplan;1942;48° 06' 07" N;65° 40' 45" O
05065;M;Saint-Alphonse;731;48° 11' 15" N;65° 37' 26" O
05070;V;New Richmond;3859;48° 09' 44" N;65° 51' 41" O
05077;M;Cascapédia--Saint-Jules;772;48° 15' 11" N;65° 55' 20" O
05902;NO;Rivière-Bonaventure;62;48° 25' 41" N;65° 37' 31" O
06005;M;Maria;2760;48° 10' 39" N;65° 58' 49" O
06013;V;Carleton-sur-Mer;4226;48° 06' 06" N;66° 07' 19" O
06020;M;Nouvelle;1815;48° 08' 19" N;66° 18' 47" O
06025;M;Escuminac;620;48° 04' 49" N;66° 32' 18" O
06030;M;Pointe-à-la-Croix;1287;48° 01' 37" N;66° 41' 59" O
06035;M;Ristigouche-Sud-Est;176;48° 00' 34" N;66° 46' 11" O
06040;M;Saint-André-de-Restigouche;145;48° 03' 46" N;66° 56' 56" O
06045;M;Matapédia;581;47° 58' 29" N;66° 56' 27" O
06050;M;Saint-Alexis-de-Matapédia;513;47° 58' 08" N;67° 03' 06" O
06055;M;Saint-François-d'Assise;669;47° 58' 57" N;67° 09' 26" O
06060;M;L'Ascension-de-Patapédia;161;47° 55' 57" N;67° 14' 60" O
06802;R;Gesgapegiag;665;48° 11' 57" N;65° 55' 07" O
06804;R;Listuguj;1647;48° 00' 47" N;66° 42' 19" O
06902;NO;Rivière-Nouvelle;0;48° 19' 00" N;66° 34' 29" O
06904;NO;Ruisseau-Ferguson;0;48° 01' 31" N;67° 27' 01" O
07005;M;Sainte-Marguerite-Marie;181;48° 19' 06" N;67° 04' 56" O
07010;M;Sainte-Florence;371;48° 15' 50" N;67° 14' 12" O
07018;V;Causapscal;2150;48° 21' 17" N;67° 13' 19" O
07025;M;Albertville;254;48° 19' 34" N;67° 21' 30" O
07030;P;Saint-Léon-le-Grand;986;48° 22' 48" N;67° 30' 22" O
07035;P;Saint-Zénon-du-Lac-Humqui;366;48° 18' 18" N;67° 34' 45" O
07040;P;Sainte-Irène;401;48° 26' 08" N;67° 35' 44" O
07047;V;Amqui;6116;48° 27' 43" N;67° 25' 56" O
07057;M;Lac-au-Saumon;1475;48° 25' 14" N;67° 20' 43" O
07065;P;Saint-Alexandre-des-Lacs;307;48° 28' 34" N;67° 18' 20" O
07070;P;Saint-Tharcisius;425;48° 32' 47" N;67° 20' 26" O
07075;M;Saint-Vianney;438;48° 37' 03" N;67° 24' 42" O
07080;M;Val-Brillant;947;48° 32' 02" N;67° 32' 54" O
07085;M;Sayabec;1772;48° 33' 55" N;67° 41' 06" O
07090;P;Saint-Cléophas;317;48° 29' 34" N;67° 44' 36" O
07095;P;Saint-Moïse;537;48° 33' 04" N;67° 51' 05" O
07100;VL;Saint-Noël;374;48° 35' 02" N;67° 50' 05" O
07105;P;Saint-Damase;389;48° 39' 40" N;67° 49' 36" O
07902;NO;Routhierville;17;48° 10' 05" N;67° 06' 53" O
07904;NO;Rivière-Vaseuse;0;48° 13' 27" N;67° 28' 39" O
07906;NO;Rivière-Patapédia-Est;0;48° 08' 27" N;67° 38' 45" O
07908;NO;Lac-Casault;10;48° 29' 06" N;66° 38' 33" O
07910;NO;Ruisseau-des-Mineurs;0;48° 36' 54" N;66° 41' 55" O
07912;NO;Lac-Alfred;0;48° 23' 12" N;67° 44' 32" O
07914;NO;Lac-Matapédia;9;48° 34' 19" N;67° 30' 54" O
08005;M;Les Méchins;965;48° 59' 52" N;66° 58' 49" O
08010;P;Saint-Jean-de-Cherbourg;173;48° 51' 31" N;67° 06' 41" O
08015;M;Grosses-Roches;388;48° 56' 23" N;67° 10' 25" O
08023;M;Sainte-Félicité;1074;48° 53' 55" N;67° 20' 02" O
08030;P;Saint-Adelme;488;48° 49' 27" N;67° 19' 14" O
08035;M;Saint-René-de-Matane;981;48° 42' 18" N;67° 23' 08" O
08040;M;Sainte-Paule;253;48° 39' 35" N;67° 33' 27" O
08053;V;Matane;14257;48° 50' 36" N;67° 31' 50" O
08065;P;Saint-Léandre;365;48° 43' 51" N;67° 36' 21" O
08073;M;Saint-Ulric;1644;48° 47' 15" N;67° 41' 57" O
08080;M;Baie-des-Sables;618;48° 43' 15" N;67° 53' 38" O
08902;NO;Rivière-Bonjour;16;48° 44' 50" N;66° 43' 25" O
09005;P;La Rédemption;389;48° 26' 40" N;67° 52' 40" O
09010;P;Saint-Charles-Garnier;237;48° 20' 28" N;68° 02' 40" O
09015;M;Les Hauteurs;485;48° 22' 41" N;68° 06' 49" O
09020;P;Sainte-Jeanne-d'Arc;216;48° 29' 37" N;67° 57' 23" O
09025;M;Saint-Gabriel-de-Rimouski;1223;48° 25' 53" N;68° 09' 50" O
09030;P;Saint-Donat;901;48° 29' 44" N;68° 14' 39" O
09035;M;Sainte-Angèle-de-Mérici;1029;48° 31' 36" N;68° 04' 60" O
09040;M;Padoue;246;48° 34' 45" N;67° 59' 17" O
09048;V;Métis-sur-Mer;583;48° 41' 01" N;67° 57' 49" O
09055;P;Saint-Octave-de-Métis;510;48° 36' 01" N;68° 04' 49" O
09060;M;Grand-Métis;214;48° 36' 57" N;68° 06' 31" O
09065;VL;Price;1704;48° 36' 07" N;68° 07' 23" O
09070;P;Saint-Joseph-de-Lepage;577;48° 34' 37" N;68° 10' 05" O
09077;V;Mont-Joli;6465;48° 35' 07" N;68° 11' 21" O
09085;P;Sainte-Flavie;943;48° 36' 38" N;68° 13' 39" O
09092;M;Sainte-Luce;2835;48° 32' 47" N;68° 23' 40" O
09902;NO;Lac-des-Eaux-Mortes;0;48° 10' 20" N;67° 54' 02" O
09904;NO;Lac-à-la-Croix;0;48° 17' 20" N;67° 46' 09" O
10005;M;Esprit-Saint;324;48° 04' 02" N;68° 33' 46" O
10010;P;La Trinité-des-Monts;236;48° 07' 40" N;68° 28' 29" O
10015;P;Saint-Narcisse-de-Rimouski;1182;48° 17' 08" N;68° 26' 19" O
10025;P;Saint-Marcellin;432;48° 20' 07" N;68° 17' 32" O
10030;P;Saint-Anaclet-de-Lessard;3035;48° 28' 20" N;68° 26' 05" O
10043;V;Rimouski;51764;48° 26' 57" N;68° 31' 30" O
10060;P;Saint-Valérien;960;48° 20' 19" N;68° 39' 25" O
